) for {0},) voor {0},
A {0} exists between {1} and {2} (,Een {0} bestaat tussen {1} en {2} (,
Absent,Afwezig,
Accrual Journal Entry for salaries from {0} to {1},Inschrijvingsboekingang voor salarissen van {0} tot {1},
Add to Details,Toevoegen aan details,
Added to details,Toegevoegd aan details,
All Jobs,alle vacatures,
Allocated Leaves,Toegewezen bladeren,
Annual Salary,Jaarsalaris,
Application period cannot be across two allocation records,De toepassingsperiode kan niet over twee toewijzingsrecords lopen,
Application period cannot be outside leave allocation period,Aanvraagperiode kan buiten verlof toewijzingsperiode niet,
Apply Now,Nu toepassen,
Apprentice,Leerling,
Approval Status,Goedkeuringsstatus,
Approval Status must be 'Approved' or 'Rejected',Goedkeuring Status moet worden ' goedgekeurd ' of ' Afgewezen ',
As per your assigned Salary Structure you cannot apply for benefits,Vanaf uw toegewezen Salarisstructuur kunt u geen voordelen aanvragen,
Assign,Toewijzen,
Assign Salary Structure,Salarisstructuur toewijzen,
Assign to Employees,Toewijzen aan werknemers,
Assigning Structures...,Structuren toewijzen ...,
Attendance,Aanwezigheid,
Attendance From Date and Attendance To Date is mandatory,Aanwezigheid Van Datum en Aanwezigheid Tot Datum zijn verplicht.,
Attendance for employee {0} is already marked for this day,Attendance voor personeelsbeloningen {0} is al gemarkeerd voor deze dag,
Attendance not submitted for {0} as it is a Holiday.,Aanwezigheid niet ingediend voor {0} omdat het een feestdag is.,
Bank Entries,Bank Gegevens,
Base,Baseren,
Beginner,Beginner,
Birthday Reminder,Verjaardag Herinnering,
Bonus Payment Date cannot be a past date,Bonus Betalingsdatum kan geen datum in het verleden zijn,
Calls,Oproepen,
Cannot find active Leave Period,Actieve verlofperiode niet te vinden,
Casual Leave,Casual Leave,
Claimed Amount,Geclaimd bedrag,
Compensatory Off,compenserende Off,
Contact Number,Contact nummer,
Course,Cursus,
Create Disbursement Entry,Creëer uitbetalingsvermelding,
Create Salary Slip,Maak loonstrook,
Create Salary Slips,Salarisbrieven maken,
Creating Payment Entries......,Betaling invoeren ......,
Creating Salary Slips...,Salarisbrieven maken ...,
Current,Actueel,
Current Job Openings,Huidige vacatures,
Daily Work Summary,Dagelijks Werk Samenvatting,
Daily Work Summary Group,Daily Work Summary Group,
Date is repeated,Datum wordt herhaald,
Debit A/C Number,Debit A / C nummer,
Deduction,Aftrek,
Document Status,Document Status,
Earning,verdienen,
Employee A/C Number,A / C-nummer werknemer,
Employee Benefits,Employee Benefits,
Employee Grade,Werknemersrang,
Employee Referral,Employee Referral,
Employee relieved on {0} must be set as 'Left',Werknemer ontslagen op {0} moet worden ingesteld als 'Verlaten',
Employee {0} already submited an apllication {1} for the payroll period {2},Werknemer {0} heeft al een aanvraag ingediend {1} voor de loonperiode {2},
Employee {0} has no maximum benefit amount,Werknemer {0} heeft geen maximale uitkering,
Employee {0} is not active or does not exist,Werknemer {0} is niet actief of bestaat niet,
Employee {0} is on Leave on {1},Werknemer {0} staat op Verlof op {1},
Employee {0} on Half day on {1},Employee {0} op een halve dag op {1},
End time cannot be before start time,Eindtijd kan niet eerder zijn dan starttijd,
Evaluation,evaluatie,
Event Location,Gebeurtenis Locatie,
Event Name,Evenement naam,
Expense Claim for Vehicle Log {0},Declaratie voor voertuig Inloggen {0},
Expense Claim {0} already exists for the Vehicle Log,Declaratie {0} bestaat al voor de Vehicle Log,
Fill the form and save it,Vul het formulier in en sla het op,
Filter Employees By (Optional),Werknemers filteren op (optioneel),
Fiscal Year {0} not found,Boekjaar {0} niet gevonden,
Food,Voeding,
For Employee,Voor werknemer,
From Date {0} cannot be after employee's relieving Date {1},Vanaf datum {0} kan niet worden na ontlastingsdatum van medewerker {1},
From Date {0} cannot be before employee's joining Date {1},Van datum {0} kan niet vóór de indiensttreding van de werknemer zijn Date {1},
From date can not be less than employee's joining date,Vanaf datum kan niet minder zijn dan de toetredingsdatum van de werknemer,
Fuel Price,Fuel Price,
Fuel Qty,brandstof Aantal,
Full-time,Full-time,
Future dates not allowed,Toekomstige data niet toegestaan,
Get Details From Declaration,Krijg details van de verklaring,
Get Employees,Krijg medewerkers,
Gross Pay,Brutoloon,
Guest,Gast,
Half Day,Halve dag,
Half Day Date is mandatory,Halve dag datum is verplicht,
Half Day Date should be between From Date and To Date,Halve dag datum moet zijn tussen Van Datum en To Date,
Half Day Date should be in between Work From Date and Work End Date,Halve dag moet tussen werk na datum en einddatum werken zijn,
Half day date should be in between from date and to date,Een datum van een halve dag moet tussen de datum en de datum liggen,
Hello,Hallo,
House rent paid days overlapping with {0},Huizenhuur betaalde dagen overlappend met {0},
House rented dates required for exemption calculation,Huis gehuurde data vereist voor vrijstellingsberekening,
House rented dates should be atleast 15 days apart,Huis gehuurde datums moeten ten minste 15 dagen uit elkaar liggen,
Interest Amount,Interestbedrag,
Intern,Intern,
Job Description,Functiebeschrijving,
Job Offer,Vacature,
Jobs,Jobs,
Leave Approval Notification,Laat goedkeuringskennisgeving achter,
Leave Blocked,Verlof Geblokkeerd,
Leave Encashment,Laat Inning,
Leave Status Notification,Laat statusmelding achter,
Leave Type,Verlof Type,
Leave Type is madatory,Verlof Type is maganorie,
Leave Type {0} cannot be allocated since it is leave without pay,Laat Type {0} kan niet worden toegewezen omdat het te verlaten zonder te betalen,
Leave Type {0} cannot be carry-forwarded,Verlaat Type {0} kan niet worden doorgestuurd dragen-,
Leave Type {0} is not encashable,Verloftype {0} is niet ingesloten,
Leave Without Pay,Onbetaald verlof,
"Leave cannot be allocated before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","Verlof kan niet eerder worden toegewezen {0}, als verlof balans al-carry doorgestuurd in de toekomst toewijzing verlof record is {1}",
"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","Verlaat niet kan worden toegepast / geannuleerd voordat {0}, als verlof balans al-carry doorgestuurd in de toekomst toewijzing verlof record is {1}",
Leave of type {0} cannot be longer than {1},Verlof van type {0} kan niet langer zijn dan {1},
Leaves,bladeren,
Leaves Allocated Successfully for {0},Verlof succesvol toegewezen aan {0},
Leaves per Year,Verlaat per jaar,
Lifecycle,Levenscyclus,
Mark Attendance,Mark Attendance,
Max Exemption Amount cannot be greater than maximum exemption amount {0} of Tax Exemption Category {1},Max. Vrijstellingsbedrag mag niet groter zijn dan het maximale vrijstellingsbedrag {0} van belastingvrijstellingscategorie {1},
Max benefits should be greater than zero to dispense benefits,Maximale voordelen moeten groter zijn dan nul om voordelen te bieden,
