) for {0},) د {0} لپاره,
A {0} exists between {1} and {2} (,{1} {2} او {2} ترمنځ شتون لري (,
Absent,غیرحاضر,
Accrual Journal Entry for salaries from {0} to {1},د {1} څخه تر {1} معاشونو لپاره د اشتراوی ژورنال ننوت,
Add to Details,په تفصیل کې اضافه کړئ,
Added to details,تفصیلات ته اضافه شوی,
All Jobs,ټول,
Allocated Leaves,ټاکل شوي پاڼي,
Annual Salary,کلنی معاش,
Application period cannot be across two allocation records,د غوښتنلیک موده نشي کولی د تخصیص دوه ریکارډونو کې وي,
Application period cannot be outside leave allocation period,کاریال موده نه شي بهر رخصت تخصيص موده وي,
Apply Now,اوس غوښتنه وکړه,
Apprentice,شاګرد,
Approval Status,تصویب حالت,
Approval Status must be 'Approved' or 'Rejected',تصویب حالت بايد د تصویب &#39;يا&#39; رد &#39;,
As per your assigned Salary Structure you cannot apply for benefits,ستاسو د ټاکل شوې تنخواې جوړښت سره سم تاسو د ګټو لپاره درخواست نشو کولی,
Assign,موظف,
Assign Salary Structure,د تنخوا جوړښت جوړښت کړئ,
Assign to Employees,کارمندانو ته یې دنده وسپارئ,
Assigning Structures...,د جوړښتونو ټاکل ...,
Attendance,د حاضرۍ,
Attendance From Date and Attendance To Date is mandatory,د حاضرۍ له تاريخ او د حاضرۍ ته د نېټه الزامی دی,
Attendance for employee {0} is already marked for this day,د {0} کارمند په ګډون لا د مخه د دې ورځې لپاره په نښه,
Attendance not submitted for {0} as it is a Holiday.,حاضری د {0} لپاره ندی ورکړل شوی ځکه چې دا د هټیوال دی.,
Bank Entries,بانک توکي,
Base,اډه,
Beginner,لومړنی,
Birthday Reminder,د سالم یادونې,
Bonus Payment Date cannot be a past date,د بونس تادیاتو نیټه د تیرې نیټې ندی,
Calls,غږ,
Cannot find active Leave Period,د فعالې دورې دوره نشي موندلی,
Casual Leave,واله ته لاړل,
Claimed Amount,ادعا شوې پیسې,
Compensatory Off,د معاوضې پړاو,
Contact Number,د اړیکې شمیره,
Course,کورس,
Create Disbursement Entry,د توزیع ننوتنه جوړه کړئ,
Create Salary Slip,معاش ټوټه جوړول,
Create Salary Slips,د معاش معاشونه جوړ کړئ,
Creating Payment Entries......,د تادیاتو لیکونو جوړول,
Creating Salary Slips...,د معاشونو سلونه جوړول ...,
Current,اوسني,
Current Job Openings,اوسنۍ دنده په پرانیستولو,
Daily Work Summary,هره ورځ د کار لنډیز,
Daily Work Summary Group,د ورځني کاري لنډیز ګروپ,
Date is repeated,نېټه تکرار,
Debit A/C Number,دبیټ A / C شمیره,
Deduction,مجرايي,
Document Status,سند حالت,
Earning,وټې,
Employee A/C Number,د کارمند A / C شمیره,
Employee Benefits,د کارګر ګټې,
Employee Grade,د کارموندنې درجه,
Employee Referral,د کار ګمارل,
Employee relieved on {0} must be set as 'Left',د کارګر د کرارۍ د {0} بايد جوړ شي د &quot;کيڼ &#39;,
Employee {0} already submited an apllication {1} for the payroll period {2},کارمندانو {1} لا دمخه د معاشونو د دورې لپاره {1} یو انضباط خپور کړ {2},
Employee {0} has no maximum benefit amount,کارمند benefit 0} د اعظمي حد نه لري,
Employee {0} is not active or does not exist,د کارګر {0} فعاله نه وي او یا موجود ندی,
Employee {0} is on Leave on {1},کارمند {0} په {1} رخصت دی,
Employee {0} on Half day on {1},کارکوونکی د {0} په نيمه ورځ په {1},
End time cannot be before start time,د پای وخت د پیل وخت څخه مخکې نشي کیدی,
Evaluation,ارزونې,
Event Location,د موقع ځای,
Event Name,دکمپاینونو نوم,
Expense Claim for Vehicle Log {0},د وسایطو ننوتنه اخراجاتو ادعا {0},
Expense Claim {0} already exists for the Vehicle Log,اخراجاتو ادعا {0} لپاره د وسایطو د ننوتنه مخکې نه شتون لري,
Fill the form and save it,د فورمې په ډکولو او بيا يې خوندي,
Filter Employees By (Optional),د فلټر کارمندان لخوا (اختیاري),
Fiscal Year {0} not found,مالي کال د {0} ونه موندل شو,
Food,د خوړو د,
For Employee,د کارګر,
From Date {0} cannot be after employee's relieving Date {1},د نیټې څخه {0} نشي کولی د کارمندانو د رعایت کولو نیټه وروسته {1},
From Date {0} cannot be before employee's joining Date {1},د نېټې څخه {0} نشي کولی د کارمندانو سره یوځای کیدو نیټه مخکې {1},
From date can not be less than employee's joining date,د نیټې څخه نشي کولی د کارمندانو د شمولیت نیټه کم وي,
Fuel Price,د ګازو د بیو,
Fuel Qty,د تیلو د Qty,
Full-time,پوره وخت,
Future dates not allowed,راتلونکی نیټه اجازه نه ده ورکړل شوې,
Get Details From Declaration,د اعلامیې څخه جزیات ترلاسه کړئ,
Get Employees,کارمندان ترلاسه کړئ,
Gross Pay,Gross د معاشونو,
Guest,ميلمه,
